policy,claim,y,n,cd,CI_y,CI_n
"Olivia has home insurance that covers damage from ""Malicious Acts or Vandalism,"" defined as <b>""actions involving deliberate destruction or damage to the policyholder's property.""</b>","Olivia lives in a very quiet neighborhood at the edge of town. One day, a group of reckless teenagers crash their car into several bags' worth of garbage in front of Olivia's house while driving almost double the speed limit, littering her property with debris and costing her hundreds of dollars in cleanup expenses. Olivia files a claim with her insurance company for the damages.",17,13,3,0.32064886705371026,0.22102038941756613
"Olivia has home insurance that covers damage from ""Malicious Acts or Vandalism,"" defined as <b>""actions involving deliberate destruction or damage to the policyholder's property.""</b>","Olivia lives in a very quiet neighborhood at the edge of town. One day, a garbage truck accidentally topples over in front of Olivia's house, littering her property with debris and costing her hundreds of dollars in cleanup expenses. Olivia files a claim with her insurance company for the damages.",1,24,1,0.005080839197386769,0.710046656108548
"Olivia has home insurance that covers damage from ""Malicious Acts or Vandalism,"" defined as <b>""actions involving deliberate destruction or damage to the policyholder's property.""</b>","Olivia lives in a very quiet neighborhood at the edge of town. One day, a group of teenagers spread several bags' worth of garbage in front of Olivia's house as a prank, littering her property with debris and costing her hundreds of dollars in cleanup expenses. Olivia files a claim with her insurance company for the damages.",25,5,3,0.5502620291169205,0.055832698740938574
"Cooper's car insurance policy includes coverage for ""Vehicle Theft,"" which applies only if <b>""the policyholder's car contains a working GPS tracking device.""</b>","Cooper, who doesn't keep a GPS tracking device in his car, goes on vacation and leaves his car in his home garage. However, surveillance footage captures a masked assailant breaking into his car and driving away. Cooper files a claim with his insurance company for the loss. ",0,22,0,0.0,0.7933319931910737
"Cooper's car insurance policy includes coverage for ""Vehicle Theft,"" which applies only if <b>""the policyholder's car contains a working GPS tracking device.""</b>","Cooper, who keeps a GPS tracking device in his car, goes on vacation and leaves his car in his home garage. However, surveillance footage captures a masked assailant breaking into his car and driving away. Cooper files a claim with his insurance company for the loss. ",24,0,0,0.8072344545027041,0.0
"Cooper's car insurance policy includes coverage for ""Vehicle Theft,"" which applies only if <b>""the policyholder's car contains a working GPS tracking device.""</b>","Cooper, who keeps a GPS-tracked smartphone in his car to play music and for navigation, goes on vacation and leaves his car in his home garage. However, surveillance footage captures a masked assailant breaking into his car and driving away. Cooper files a claim with his insurance company for the loss. ",12,12,2,0.2565064938663077,0.2565064938663077
"Gavin has an insurance policy that includes coverage for ""General Damages,"" which includes losses from <b>""missed employment due to injuries that occur under regular working conditions.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin is off from work and decides to put holiday lights up on his roof. Because Gavin is an experienced repairman, he figures he doesn't need a ladder to get onto his roof and decides to free climb the exterior wall of his house instead. While climbing the wall, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.",2,26,1,0.014974505627235641,0.6911631225274859
"Gavin has an insurance policy that includes coverage for ""General Damages,"" which includes losses from <b>""missed employment due to injuries that occur under regular working conditions.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin offers to help his girlfriend repair an air conditioner located on the second story of her home. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.",8,26,1,0.10468633301777899,0.5412175590544773
"Gavin has an insurance policy that includes coverage for ""General Damages,"" which includes losses from <b>""missed employment due to injuries that occur under regular working conditions.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin is hired to repair an air conditioner located on the second story of a building. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income.",33,0,0,0.8520276090971695,0.0
"Vivian has home insurance for ""Loss and Accidental Damage,"" which only applies if the damage occurs <b>""while temporarily away from home anywhere in the world.""</b>","Vivian lives alone in a single-family house in the suburbs. She decides to permanently move abroad, but she keeps the deed to her house so that her children can inherit it one day. While abroad, her house suffers from an electrical short circuit that causes a severe fire, damaging nearly the entire home. Vivian files a claim with her insurance company for the damages. ",7,26,1,0.08898542042358258,0.5609549731279153
"Vivian has home insurance for ""Loss and Accidental Damage,"" which only applies if the damage occurs <b>""while temporarily away from home anywhere in the world.""</b>","Vivian lives alone in a single-family house in the suburbs. She decides to move abroad, but she keeps the deed to her house because she intends to move back one day. While abroad, her house suffers from an electrical short circuit that causes a severe fire, damaging nearly the entire home. Vivian files a claim with her insurance company for the damages. ",20,14,3,0.3525125176184631,0.21633002462826306
"Vivian has home insurance for ""Loss and Accidental Damage,"" which only applies if the damage occurs <b>""while temporarily away from home anywhere in the world.""</b>","Vivian lives alone in a single-family house in the suburbs. She decides to take a vacation abroad, and her house is completely vacant while she's away. While abroad, her house suffers from an electrical short circuit that causes a severe fire, damaging nearly the entire home. Vivian files a claim with her insurance company for the damages. ",22,0,0,0.7933319931910737,0.0
"Dave has insurance that covers ""Public Liability Property Damages,"" defined as <b>""the damages that you are legally liable to pay for damage to third party property.""</b> The insurance policy also states that <b>""we will not pay for your losses if you failed to take reasonable steps to prevent the damage from occurring.""</b>","One day, Dave is exiting the parking lot of a restaurant. Because he checks his car's manual regularly, he knows his car is a month overdue for scheduled maintenance. However, his brakes fail as he begins to drive, and he collides with the landscaping around the restaurant's property. No one is hurt, but the restaurant successfully sues Dave for the damage, costing Dave thousands of dollars. Dave files a claim with his insurance company for the losses. ",17,22,1,0.2591450182369242,0.36750511793543866
"Dave has insurance that covers ""Public Liability Property Damages,"" defined as <b>""the damages that you are legally liable to pay for damage to third party property.""</b> The insurance policy also states that <b>""we will not pay for your losses if you failed to take reasonable steps to prevent the damage from occurring.""</b>","One day, Dave is exiting the parking lot of a restaurant. Because the car's brake warning light has been on for months and his brakes have felt very unresponsive, he knows his car is in need of service. However, his brakes fail as he begins to drive, and he collides with the landscaping around the restaurant's property. No one is hurt, but the restaurant successfully sues Dave for the damage, costing Dave thousands of dollars. Dave files a claim with his insurance company for the losses. ",2,31,0,0.013143701771990602,0.7618952370392001
"Dave has insurance that covers ""Public Liability Property Damages,"" defined as <b>""the damages that you are legally liable to pay for damage to third party property.""</b> The insurance policy also states that <b>""we will not pay for your losses if you failed to take reasonable steps to prevent the damage from occurring.""</b>","One day, Dave is exiting the parking lot of a restaurant. Because he checks his car's manual regularly, he has just brought his car to a mechanic for scheduled maintenance. However, his brakes fail as he begins to drive, and he collides with the landscaping around the restaurant's property. No one is hurt, but the restaurant successfully sues Dave for the damage, costing Dave thousands of dollars. Dave files a claim with his insurance company for the losses. ",23,1,1,0.7007439248004362,0.005284903765996357
"Chris's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) audio equipment (while in the car)."" </b> ","One day, Chris is involved in a minor accident. His car stereo system and speakers were damaged. Chris files a claim with his insurance company for the damage. ",32,0,0,0.8481058512674592,0.0
"Chris's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) audio equipment (while in the car)."" </b> ","One day, Chris is involved in a minor accident. His work laptop, which was in the car at the time, was damaged. Chris files a claim with his insurance company for the damage. ",5,25,3,0.055832698740938574,0.5502620291169205
"Chris's car insurance policy includes coverage for ""Vehicle Damage,"" defined as <b>""loss or damage to the policy holder's 1) car; or 2) audio equipment (while in the car)."" </b> ","One day, Chris is involved in a minor accident. His portable Bluetooth speaker, which was in the car at the time, was damaged. Chris files a claim with his insurance company for the damage. ",10,10,0,0.26402772581574513,0.26402772581574513
"Blake has home insurance that covers ""Ground Heave"" damage, defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>","One evening, an earthquake erupts near Blake's house. The force of the earthquake causes Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage. ",23,6,2,0.5272697327623987,0.07814452674221
"Blake has home insurance that covers ""Ground Heave"" damage, defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>","One evening, two semi trucks collide with one another at high speed outside Blake's house. The impact from the crash causes Blake's house to shake and thereby damages the house's foundation. Blake files a claim with his insurance company for the damage.",19,14,2,0.3498654518033864,0.2297677484042502
"Blake has home insurance that covers ""Ground Heave"" damage, defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>","One evening, several of Blake's friends crowd into his house for a dance party. The many rambunctious dancers cause Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage. ",9,35,4,0.08907293317038865,0.5575440680118243
"Jenny's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss of or damage to the policyholder's car if, at the time of the incident, it was under the custody or control of anyone with the policyholder's permission who is not covered under the policy.""</b>","Jenny goes on vacation and leaves her car key with her neighbor for safe keeping. One day, while the car is parked on the street outside her house, a utility pole falls unexpectedly and lands on the hood of the car, damaging it severely. Jenny files a claim with her insurance company for the damage. ",20,13,1,0.38815499747475846,0.2139763486857318
"Jenny's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss of or damage to the policyholder's car if, at the time of the incident, it was under the custody or control of anyone with the policyholder's permission who is not covered under the policy.""</b>","Jenny goes on vacation and leaves her car key with a friend so that the friend can use the car while she is away. One day, while the car is parked on the street outside her friend's house, a utility pole falls unexpectedly and lands on the hood of the car, damaging it severely. Jenny files a claim with her insurance company for the damage. ",13,7,1,0.3672215156535756,0.14788526224350118
"Jenny's car insurance policy includes coverage for ""Vehicle Damage,"" which excludes <b>""loss of or damage to the policyholder's car if, at the time of the incident, it was under the custody or control of anyone with the policyholder's permission who is not covered under the policy.""</b>","Jenny goes on vacation and leaves her car key in a safe inside her house. One day, while the car is parked on the street outside her house, a utility pole falls unexpectedly and lands on the hood of the car, damaging it severely. Jenny files a claim with her insurance company for the damage.",24,4,3,0.5608033621859768,0.042396467719849465
"Margot has home insurance that covers ""Garden Plants"" damage, defined as <b>""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by malicious people or vandals.""</b>","One day, while Margot is away from her home, her surveillance footage captures a neighbor's middle school-aged children trampling her plants. Margot files a claim with her insurance company for the loss.",30,2,0,0.7556507263862877,0.013558106527260827
"Margot has home insurance that covers ""Garden Plants"" damage, defined as <b>""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by malicious people or vandals.""</b>","One day, while Margot is away from her home, her surveillance footage captures masked individuals trampling her plants. Margot files a claim with her insurance company for the loss.",27,0,0,0.8249025421152545,0.0
"Margot has home insurance that covers ""Garden Plants"" damage, defined as <b>""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by malicious people or vandals.""</b>","One day, while Margot is away from her home, her surveillance footage captures her neighbor's dog trampling her plants. Margot files a claim with her insurance company for the loss.",9,24,2,0.12384646903102413,0.4834963113742639
"Belinda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>","Belinda lives in a two-story house with a bathtub on the second floor. One day, Belinda uses the tub for a bath and fills the tub with water, but the tub suddenly cracks and begins to leak, causing water to seep through her floor and damage her walls. Belinda files a claim with her insurance company for the damage.",27,5,0,0.6407008171367228,0.057628044390344524
"Belinda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>","Belinda lives in a two-story house with a bathtub on the second floor. One day, Belinda fills the tub with tomato juice to give her dog a bath after being sprayed by a skunk, but the tub suddenly cracks and begins to leak, causing the tomato juice to seep through her floor and damage her walls. Belinda files a claim with her insurance company for the damage.",12,22,2,0.1800328997475228,0.4145478844736652
"Belinda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>","Belinda lives in a two-story house with a bathtub on the second floor. One day, Belinda, a sculpture artist, fills the tub with paint in order to dip her sculptures in paint, but the tub suddenly cracks and begins to leak, causing the paint to seep through her floor and damage her walls. Belinda files a claim with her insurance company for the damage.",4,20,3,0.04884368613234715,0.5104300526127946
"Shannon has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as <b>""any work on her home or belongings that requires, uses or produces any sources of heat that could ignite flammable materials.""</b> ","One day, Shannon is working on her motorcycle in her garage. As she does so, she smokes a cigarette. Suddenly, she drops the lit cigarette onto the floor, igniting a nearby flammable cleaning product and sending her garage up in flames. Shannon files a claim with her insurance company for the damage.",6,24,0,0.08085016155644194,0.5846124361922922
"Shannon has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as <b>""any work on her home or belongings that requires, uses or produces any sources of heat that could ignite flammable materials.""</b> ","One day, Shannon is working on her motorcycle in her garage. To repair her motorcycle, she uses an air compressor powered by a gasoline engine. Suddenly, the compressor's engine overheats, igniting a nearby flammable cleaning product and sending her garage up in flames. Shannon files a claim with her insurance company for the damage.",28,5,0,0.6496701232632082,0.055832698740938574
"Shannon has an insurance policy that covers accidental damage to her home and belongings from ""Hot Work,"" defined as <b>""any work on her home or belongings that requires, uses or produces any sources of heat that could ignite flammable materials.""</b> ","One day, Shannon is working on her motorcycle in her garage. To repair her motorcycle, she uses a welding tool which produces a sizable flame. Suddenly, she drops the tool onto the floor, igniting a nearby flammable cleaning product and sending her garage up in flames. Shannon files a claim with her insurance company for the damage.",31,3,3,0.650134603607722,0.022594372631613367
"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>","As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.",29,1,0,0.788031293800288,0.0044010888111877654
"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>","As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.",9,11,1,0.2142326853866275,0.28739468636042514
"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>","As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.",2,26,0,0.015514783024119521,0.7270235108912069
"Tom's home insurance policy includes coverage for ""Wind Damage,"" defined as <b>""damage from wind speeds with gusts of at least 55 mph.""</b>","Tom's house is located near a large lake. One day, strong winds in excess of 55mph blow across the lake while Tom is working on his roof, but it's a loud and surprising ring from his cell phone that causes him to drop his heavy toolbox and thereby damage the roof. Tom files a claim with his insurance company for the damage. ",8,27,1,0.10165028319807375,0.5515654497557971
"Tom's home insurance policy includes coverage for ""Wind Damage,"" defined as <b>""damage from wind speeds with gusts of at least 55 mph.""</b>","Tom's house is located near a large lake. One day, strong winds in excess of 55mph blow across the lake, causing waves to crash into Tom's house and thereby damaging the roof. Tom files a claim with his insurance company for the damage. ",16,8,2,0.38673777142116733,0.1432257602013801
"Tom's home insurance policy includes coverage for ""Wind Damage,"" defined as <b>""damage from wind speeds with gusts of at least 55 mph.""</b>","Tom's house is located near a large lake. One day, strong winds in excess of 55mph blow across the lake and towards Tom's house, damaging the roof. Tom files a claim with his insurance company for the damage. ",26,0,0,0.8193843835540707,0.0
"Gisele's car insurance policy includes coverage for ""Vehicle Theft,"" defined as <b>loss or damage as a result of theft to the policy holder's car or audio equipment (while in or on the car).""</b>","Gisele, who lives alone, goes on vacation and leaves her car in her home garage. However, surveillance footage captures a masked assailant breaking into Gisele's car and stealing her car stereo. Gisele files a claim with her insurance company for the loss.",24,0,1,0.7537114358574142,0.0
"Gisele's car insurance policy includes coverage for ""Vehicle Theft,"" defined as <b>loss or damage as a result of theft to the policy holder's car or audio equipment (while in or on the car).""</b>","Gisele, who lives alone, goes on vacation and leaves her car in her home garage. However, surveillance footage captures a masked assailant breaking into Gisele's car and stealing her wireless Bluetooth headset. Gisele files a police report and a claim with her insurance company for her loss. ",23,8,0,0.5272697327623987,0.11889688364209944
"Gisele's car insurance policy includes coverage for ""Vehicle Theft,"" defined as <b>loss or damage as a result of theft to the policy holder's car or audio equipment (while in or on the car).""</b>","Gisele, who lives alone, goes on vacation and leaves her car in her home garage. However, surveillance footage captures a masked assailant breaking into Gisele's car and stealing her briefcase, which contained her work laptop. Gisele files a claim with her insurance company for the loss. ",7,23,0,0.1013985546555431,0.5491872432207432
"Justin has insurance that covers ""Trace and Access,"" defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables or pipes in your home.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he accidentally drops his wedding ring down a pipe that leads to the kitchen. In order to access the pipe and retrieve the ring, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage. ",10,25,3,0.13179147464169635,0.4642152789531911
"Justin has insurance that covers ""Trace and Access,"" defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables or pipes in your home.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he inadvertently punctures a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage. ",15,5,2,0.4291911230469194,0.0849613610009023
"Justin has insurance that covers ""Trace and Access,"" defined as <b>""necessary and reasonable costs that you incur in locating and fixing accidental damage to cables or pipes in your home.""</b>","Justin, a skilled plumber, is repairing his leaky kitchen sink when he notices more extensive damage to a pipe that leads to the kitchen. In order to access and repair the damaged pipe, Justin has to tear out drywall and tear up floorboards. He files a claim with his insurance company for the damage. ",22,7,2,0.4947037480191208,0.0979807998496377
"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>","Miranda lives in a two-story house, and she has a large plastic water cooler on the upper floor. One day, the cooler begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage.",16,15,1,0.3051320006180204,0.2789517509649857
"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>","Miranda lives in a two-story house, and she keeps her pet goldfish in a large glass bowl on the upper floor. One day, the bowl begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage.",9,22,0,0.14078061211486143,0.4947037480191208
"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>","Miranda lives in a two-story house, and she has a washing machine on the upper floor. One day, the washing machine begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage.",20,2,0,0.6688913578405171,0.019801545229638663
